Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Isaiah Hodgins (40835814),Isaiah Hodgins,40835814,WR/FLEX,3300,NYG@DET 11/23/2025 01:00PM ET,NYG,10.7
TE,T.J. Hockenson (40836136),T.J. Hockenson,40836136,TE/FLEX,3300,MIN@GB 11/23/2025 01:00PM ET,MIN,7.4
TE,AJ Barner (40836134),AJ Barner,40836134,TE/FLEX,3300,SEA@TEN 11/23/2025 01:00PM ET,SEA,9.27
WR,Ryan Flournoy (40835810),Ryan Flournoy,40835810,WR/FLEX,3300,PHI@DAL 11/23/2025 04:25PM ET,DAL,5.45
WR,David Sills V (40835812),David Sills V,40835812,WR/FLEX,3300,ATL@NO 11/23/2025 04:25PM ET,ATL,0.74
WR,Adonai Mitchell (40835824),Adonai Mitchell,40835824,WR/FLEX,3200,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,2.8
TE,Pat Freiermuth (40836140),Pat Freiermuth,40836140,TE/FLEX,3200,PIT@CHI 11/23/2025 01:00PM ET,PIT,7.19
TE,Luke Musgrave (40836138),Luke Musgrave,40836138,TE/FLEX,3200,MIN@GB 11/23/2025 01:00PM ET,GB,2.4
WR,Tyquan Thornton (40835820),Tyquan Thornton,40835820,WR/FLEX,3200,IND@KC 11/23/2025 01:00PM ET,KC,7.02
WR,Dyami Brown (40835818),Dyami Brown,40835818,WR/FLEX,3200,JAX@ARI 11/23/2025 04:05PM ET,JAX,5.5
WR,Tim Patrick (40835822),Tim Patrick,40835822,WR/FLEX,3200,JAX@ARI 11/23/2025 04:05PM ET,JAX,3.03
DST,Jaguars  (40836364),Jaguars ,40836364,DST,3200,JAX@ARI 11/23/2025 04:05PM ET,JAX,7.7
WR,Devaughn Vele (40835826),Devaughn Vele,40835826,WR/FLEX,3200,ATL@NO 11/23/2025 04:25PM ET,NO,1.93
WR,Tyler Johnson (40835830),Tyler Johnson,40835830,WR/FLEX,3100,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,3.86
WR,Olamide Zaccheaus (40835834),Olamide Zaccheaus,40835834,WR/FLEX,3100,PIT@CHI 11/23/2025 01:00PM ET,CHI,6.53
WR,Kyle Williams (40835828),Kyle Williams,40835828,WR/FLEX,3100,NE@CIN 11/23/2025 01:00PM ET,NE,1.64
TE,Noah Fant (40836142),Noah Fant,40836142,TE/FLEX,3100,NE@CIN 11/23/2025 01:00PM ET,CIN,7.96
WR,Jalin Hyatt (40835836),Jalin Hyatt,40835836,WR/FLEX,3100,NYG@DET 11/23/2025 01:00PM ET,NYG,1.21
DST,Chiefs  (40836365),Chiefs ,40836365,DST,3100,IND@KC 11/23/2025 01:00PM ET,KC,6.2
TE,David Njoku (40836144),David Njoku,40836144,TE/FLEX,3100,CLE@LV 11/23/2025 04:05PM ET,CLE,8.53
WR,Jalen Tolbert (40835832),Jalen Tolbert,40835832,WR/FLEX,3100,PHI@DAL 11/23/2025 04:25PM ET,DAL,3.92
WR,Garrett Wilson (40835844),Garrett Wilson,40835844,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,14.21
WR,Allen Lazard (40835846),Allen Lazard,40835846,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,2.92
WR,Tylan Wallace (40836074),Tylan Wallace,40836074,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,BAL,1.45
WR,Devontez Walker (40836076),Devontez Walker,40836076,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,BAL,3.5
WR,LaJohntay Wester (40836078),LaJohntay Wester,40836078,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,BAL,-0.1
WR,Dayton Wade (40836080),Dayton Wade,40836080,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,BAL,0
WR,Cornelius Johnson (40836082),Cornelius Johnson,40836082,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,BAL,0
WR,Keith Kirkwood (40836084),Keith Kirkwood,40836084,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,BAL,0
WR,Isaiah Williams (40836086),Isaiah Williams,40836086,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,2.08
WR,Arian Smith (40836088),Arian Smith,40836088,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,1.1
WR,Josh Reynolds (40836090),Josh Reynolds,40836090,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,4.62
WR,Irvin Charles (40836092),Irvin Charles,40836092,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,0
WR,Trenton Irwin (40836094),Trenton Irwin,40836094,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,0
WR,Jamaal Pritchett (40836096),Jamaal Pritchett,40836096,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,0
WR,Quentin Skinner (40836098),Quentin Skinner,40836098,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,0
WR,Brandon Smith (40836100),Brandon Smith,40836100,WR/FLEX,3000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,0
WR,Roman Wilson (40835840),Roman Wilson,40835840,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,PIT,3.96
