Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Buccaneers  (41371141),Buccaneers ,41371141,DST,3000,CAR@TB 01/03/2026 04:30PM ET,TB,5.69
DST,49ers  (41371142),49ers ,41371142,DST,2900,SEA@SF 01/03/2026 08:00PM ET,SF,4.5
DST,Seahawks  (41371143),Seahawks ,41371143,DST,2700,SEA@SF 01/03/2026 08:00PM ET,SEA,10.44
TE,Tommy Tremble (41371111),Tommy Tremble,41371111,TE/FLEX,2700,CAR@TB 01/03/2026 04:30PM ET,CAR,3.19
DST,Panthers  (41371144),Panthers ,41371144,DST,2600,CAR@TB 01/03/2026 04:30PM ET,CAR,6
TE,Eric Saubert (41371131),Eric Saubert,41371131,TE/FLEX,2500,SEA@SF 01/03/2026 08:00PM ET,SEA,0.61
TE,Nick Kallerup (41371133),Nick Kallerup,41371133,TE/FLEX,2500,SEA@SF 01/03/2026 08:00PM ET,SEA,0
TE,Elijah Arroyo (41371135),Elijah Arroyo,41371135,TE/FLEX,2500,SEA@SF 01/03/2026 08:00PM ET,SEA,2.92
TE,Luke Farrell (41371137),Luke Farrell,41371137,TE/FLEX,2500,SEA@SF 01/03/2026 08:00PM ET,SF,1.91
TE,Brayden Willis (41371139),Brayden Willis,41371139,TE/FLEX,2500,SEA@SF 01/03/2026 08:00PM ET,SF,0
TE,Ja'Tavion Sanders (41371113),Ja'Tavion Sanders,41371113,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,CAR,4.15
TE,Mitchell Evans (41371115),Mitchell Evans,41371115,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,CAR,2.92
TE,James Mitchell (41371117),James Mitchell,41371117,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,CAR,1.45
TE,Bryce Pierre (41371119),Bryce Pierre,41371119,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,CAR,0
TE,Payne Durham (41371121),Payne Durham,41371121,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,TB,0.13
TE,Devin Culp (41371123),Devin Culp,41371123,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,TB,0.63
TE,Ko Kieft (41371125),Ko Kieft,41371125,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,TB,0
TE,Tanner Taula (41371127),Tanner Taula,41371127,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,TB,0
TE,Evan Deckers (41371129),Evan Deckers,41371129,TE/FLEX,2500,CAR@TB 01/03/2026 04:30PM ET,TB,0
