Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Gary Brightwell (41282042),Gary Brightwell,41282042,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,CIN,0
QB,Kenny Pickett (41281809),Kenny Pickett,41281809,QB,4000,NYG@LV 12/28/2025 04:05PM ET,LV,2.52
QB,Jameis Winston (41281837),Jameis Winston,41281837,QB,4000,NYG@LV 12/28/2025 04:05PM ET,NYG,16.43
QB,Russell Wilson (41281838),Russell Wilson,41281838,QB,4000,NYG@LV 12/28/2025 04:05PM ET,NYG,9.31
QB,Aidan O'Connell (41281839),Aidan O'Connell,41281839,QB,4000,NYG@LV 12/28/2025 04:05PM ET,LV,0
QB,Cam Miller (41281840),Cam Miller,41281840,QB,4000,NYG@LV 12/28/2025 04:05PM ET,LV,0
RB,Eric Gray (41282020),Eric Gray,41282020,RB/FLEX,4000,NYG@LV 12/28/2025 04:05PM ET,NYG,0
RB,Cam Skattebo (41282022),Cam Skattebo,41282022,RB/FLEX,4000,NYG@LV 12/28/2025 04:05PM ET,NYG,16.09
RB,Dante Miller (41282024),Dante Miller,41282024,RB/FLEX,4000,NYG@LV 12/28/2025 04:05PM ET,NYG,0
RB,Dylan Laube (41282026),Dylan Laube,41282026,RB/FLEX,4000,NYG@LV 12/28/2025 04:05PM ET,LV,0.38
RB,Zamir White (41282028),Zamir White,41282028,RB/FLEX,4000,NYG@LV 12/28/2025 04:05PM ET,LV,1.85
RB,Chris Collier (41282030),Chris Collier,41282030,RB/FLEX,4000,NYG@LV 12/28/2025 04:05PM ET,LV,0
QB,Mason Rudolph (41281831),Mason Rudolph,41281831,QB,4000,PIT@CLE 12/28/2025 01:00PM ET,PIT,3.6
QB,Will Howard (41281832),Will Howard,41281832,QB,4000,PIT@CLE 12/28/2025 01:00PM ET,PIT,0
QB,Skylar Thompson (41281833),Skylar Thompson,41281833,QB,4000,PIT@CLE 12/28/2025 01:00PM ET,PIT,0
